Portfolio,Scenario,Historical VaR,Normal VaR,t-dist VaR,Historical VaR (%),Normal VaR (%),t-dist VaR (%)
conservative,CL95%_HP1,2.501760353324593,3.5060139343032284,4.4982076022312025,2.904059640833545,4.069803709727671,5.221548553349942
conservative,CL95%_HP10,7.6656630175755724,10.696681862292744,13.524258869034858,8.898351338883481,12.416777668508427,15.699047393390941
conservative,CL95%_HP30,12.84133457513194,17.8263682082316,22.200046937586304,14.90630444459784,20.692963811408994,25.76995844161496
conservative,CL99%_HP1,5.254242328554497,4.910621028298682,7.716983612116601,6.099158566182073,5.700280732628771,8.957924617815705
conservative,CL99%_HP10,15.545573815459372,14.677930451150738,22.19771720710353,18.045402890440997,17.03823684690796,25.76725407536339
conservative,CL99%_HP30,25.116806093535043,23.949304649490454,34.84354238194643,29.155751383599217,27.80050813667545,40.44660994032271
balanced,CL95%_HP1,2.031061137718961,2.8463672153095847,3.651882418770752,2.904059640833545,4.069803709727671,5.221548553349942
balanced,CL95%_HP10,6.223389953860674,8.684131077612959,10.979707376385841,8.898351338883481,12.416777668508427,15.699047393390941
balanced,CL95%_HP30,10.42527337893796,14.472386872025208,18.023170177170922,14.90630444459784,20.692963811408994,25.76995844161497
balanced,CL99%_HP1,4.265671325194436,3.9867014118234048,6.265054722030174,6.099158566182073,5.700280732628771,8.957924617815705
balanced,CL99%_HP10,12.620717567197142,11.916318875969509,18.021278778964597,18.04540289044101,17.03823684690796,25.7672540753634
balanced,CL99%_HP30,20.391149253128717,19.443309941470208,28.28782730463748,29.155751383599217,27.80050813667545,40.44660994032271
aggressive,CL95%_HP1,1.8639481817894805,2.612171981016757,3.3514104859597733,2.904059640833545,4.069803709727671,5.221548553349942
aggressive,CL95%_HP10,5.711337868486474,7.969612549781338,10.076311943903077,8.898351338883481,12.416777668508427,15.699047393390941
aggressive,CL95%_HP30,9.567496023853579,13.281618507339086,16.540248177634414,14.90630444459784,20.692963811408994,25.76995844161497
aggressive,CL99%_HP1,3.914697673570413,3.6586810263384706,5.749574516035862,6.099158566182073,5.700280732628771,8.957924617815705
aggressive,CL99%_HP10,11.582302041717636,10.93586031951365,16.538512401107436,18.04540289044101,17.03823684690796,25.7672540753634
aggressive,CL99%_HP30,18.713393146625403,17.843540768090584,25.960343237363308,29.155751383599217,27.80050813667545,40.44660994032271
barbell,CL95%_HP1,1.953934568744293,2.7382805933552317,3.51320753792742,2.904059640833545,4.069803709727671,5.221548553349942
barbell,CL95%_HP10,5.987065844448708,8.354363931708733,10.562769086070492,8.898351338883481,12.416777668508427,15.699047393390941
barbell,CL95%_HP30,10.029388906822339,13.922819198465703,17.33876671338701,14.90630444459784,20.692963811408994,25.76995844161497
barbell,CL99%_HP1,4.103688710503005,3.835312270595619,6.027148454131512,6.099158566182073,5.700280732628771,8.957924617815705
barbell,CL99%_HP10,12.141464320763886,11.463814137119659,17.3369471382546,18.04540289044101,17.03823684690796,25.7672540753634
barbell,CL99%_HP30,19.616825255619492,18.70497875219798,27.213638535408762,29.155751383599217,27.80050813667545,40.44660994032271
