,53079EAN4 Corp,88732JAJ7 Corp,92553PAC6 Corp,314275AC2 Corp
Company,Liberty Mutual Group Inc,Time Warner Cable LLC,Paramount Global,Macy's Retail Holdings LLC
Ticker,LIBMUT,CHTR,PARA,M
Rating,BB+,BB+,BB+,BB+
Issue Date,2007-03-07 00:00:00,2007-10-30 00:00:00,2007-10-05 00:00:00,2007-03-12 00:00:00
Maturity Date,2037-03-15 00:00:00,2037-05-01 00:00:00,2037-10-05 00:00:00,2037-03-15 00:00:00
2015-02-25 00:00:00,79.214,121.272,79.214,79.214
2015-02-26 00:00:00,80.269,120.582,80.269,80.269
2015-02-27 00:00:00,79.537,121.239,79.537,79.537
2015-03-02 00:00:00,79.514,120.307,79.514,79.514
2015-03-03 00:00:00,78.928,120.289,78.928,78.928
2015-03-04 00:00:00,78.669,120.955,78.669,78.669
2015-03-05 00:00:00,78.506,121.13,78.506,78.506
2015-03-06 00:00:00,78.043,120.041,78.043,78.043
2015-03-09 00:00:00,77.316,120.991,77.316,77.316
2015-03-10 00:00:00,75.952,122.605,75.952,75.952
2015-03-11 00:00:00,76.578,123.082,76.578,76.578
2015-03-12 00:00:00,76.614,123.105,76.614,76.614
2015-03-13 00:00:00,75.435,123.154,75.435,75.435
2015-03-16 00:00:00,74.831,124.055,74.831,74.831
2015-03-17 00:00:00,75.816,124.49,75.816,75.816
2015-03-18 00:00:00,75.98,125.683,75.98,75.98
2015-03-19 00:00:00,74.372,125.312,74.372,74.372
2015-03-20 00:00:00,73.447,125.969,73.447,73.447
2015-03-23 00:00:00,73.188,126.358,73.188,73.188
2015-03-24 00:00:00,72.543,126.957,72.543,72.543
2015-03-25 00:00:00,71.953,126.169,71.953,71.953
2015-03-26 00:00:00,72.334,124.41,72.334,72.334
2015-03-27 00:00:00,71.652,125.003,71.652,71.652
2015-03-30 00:00:00,72.228,125.002,72.228,72.228
2015-03-31 00:00:00,71.136,125.993,71.136,71.136
2015-04-01 00:00:00,70.961,127.499,70.961,70.961
2015-04-02 00:00:00,71.418,126.714,71.418,71.418
2015-04-06 00:00:00,73.133,126.886,73.133,73.133
2015-04-07 00:00:00,74.855,128.014,74.855,74.855
2015-04-08 00:00:00,74.104,127.673,74.104,74.104
2015-04-09 00:00:00,75.146,127.292,75.146,75.146
2015-04-10 00:00:00,75.938,127.573,75.938,75.938
2015-04-13 00:00:00,76.707,127.878,76.707,76.707
2015-04-14 00:00:00,77.608,128.195,77.608,77.608
2015-04-15 00:00:00,79.707,127.903,79.707,79.707
2015-04-16 00:00:00,78.604,127.65,78.604,78.604
2015-04-17 00:00:00,76.747,123.363,76.747,76.747
2015-04-20 00:00:00,77.921,120.508,77.921,77.921
2015-04-21 00:00:00,75.56,119.661,75.56,75.56
2015-04-22 00:00:00,76.924,117.958,76.924,76.924
2015-04-23 00:00:00,77.238,110.79,77.238,77.238
2015-04-24 00:00:00,76.629,110.025,76.629,76.629
2015-04-27 00:00:00,76.184,105.852,76.184,76.184
2015-04-28 00:00:00,76.378,102.482,76.378,76.378
2015-04-29 00:00:00,76.009,104.001,76.009,76.009
2015-04-30 00:00:00,77.1,104.108,77.1,77.1
2015-05-01 00:00:00,77.881,103.739,77.881,77.881
2015-05-04 00:00:00,78.39,103.312,78.39,78.39
2015-05-05 00:00:00,80.704,102.059,80.704,80.704
2015-05-06 00:00:00,78.572,102.36,78.572,78.572
2015-05-07 00:00:00,78.973,103.661,78.973,78.973
2015-05-08 00:00:00,80.384,104.144,80.384,80.384
2015-05-11 00:00:00,81.03,102.271,81.03,81.03
2015-05-12 00:00:00,79.832,102.942,79.832,79.832
2015-05-13 00:00:00,81.567,101.681,81.567,81.567
2015-05-14 00:00:00,81.406,102.129,81.406,81.406
2015-05-15 00:00:00,81.371,102.151,81.371,81.371
2015-05-18 00:00:00,81.326,100.99,81.326,81.326
2015-05-19 00:00:00,79.898,99.944,79.898,79.898
2015-05-20 00:00:00,79.783,98.759,79.783,79.783
2015-05-21 00:00:00,80.624,98.534,80.624,80.624
2015-05-22 00:00:00,80.491,97.018,80.491,80.491
2015-05-26 00:00:00,80.433,106.429,80.433,80.433
2015-05-27 00:00:00,80.388,108.442,80.388,80.388
2015-05-28 00:00:00,79.243,108.331,79.243,79.243
2015-05-29 00:00:00,80.755,107.919,80.755,80.755
2015-06-01 00:00:00,80.614,107.175,80.614,80.614
2015-06-02 00:00:00,80.872,105.762,80.872,80.872
2015-06-03 00:00:00,80.114,104.929,80.114,80.114
2015-06-04 00:00:00,79.405,105.268,79.405,79.405
2015-06-05 00:00:00,79.84,104.796,79.84,79.84
2015-06-08 00:00:00,79.213,104.707,79.213,79.213
2015-06-09 00:00:00,78.049,103.547,78.049,78.049
2015-06-10 00:00:00,78.44,103.007,78.44,78.44
2015-06-11 00:00:00,78.201,104.548,78.201,78.201
2015-06-12 00:00:00,77.981,104.648,77.981,77.981
2015-06-15 00:00:00,76.71,104.487,76.71,76.71
2015-06-16 00:00:00,76.109,104.749,76.109,76.109
2015-06-17 00:00:00,76.323,104.079,76.323,76.323
2015-06-18 00:00:00,76.486,103.629,76.486,76.486
2015-06-19 00:00:00,76.266,104.679,76.266,76.266
2015-06-22 00:00:00,76.36,103.516,76.36,76.36
2015-06-23 00:00:00,76.611,103.386,76.611,76.611
2015-06-24 00:00:00,76.122,103.752,76.122,76.122
2015-06-25 00:00:00,74.961,104.087,74.961,74.961
2015-06-26 00:00:00,74.867,103.351,74.867,74.867
2015-06-29 00:00:00,73.616,104.577,73.616,73.616
2015-06-30 00:00:00,75.317,104.322,75.317,75.317
2015-07-01 00:00:00,75.134,103.693,75.134,75.134
2015-07-02 00:00:00,75.271,103.976,75.271,75.271
2015-07-06 00:00:00,72.971,104.938,72.971,72.971
2015-07-07 00:00:00,72.843,104.795,72.843,72.843
2015-07-08 00:00:00,72.13,104.45,72.13,72.13
2015-07-09 00:00:00,71.948,101.697,71.948,71.948
2015-07-10 00:00:00,72.613,100.992,72.613,72.613
2015-07-13 00:00:00,72.627,100.627,72.627,72.627
2015-07-14 00:00:00,72.754,100.5,72.754,72.754
2015-07-15 00:00:00,72.297,101.135,72.297,72.297
2015-07-16 00:00:00,71.714,102.243,71.714,71.714
2015-07-17 00:00:00,69.191,102.497,69.191,69.191
2015-07-20 00:00:00,69.483,102.425,69.483,69.483
2015-07-21 00:00:00,70.007,102.803,70.007,70.007
2015-07-22 00:00:00,68.557,102.583,68.557,68.557
2015-07-23 00:00:00,69.621,103.217,69.621,69.621
2015-07-24 00:00:00,69.632,103.328,69.632,69.632
2015-07-27 00:00:00,67.316,102.438,67.316,67.316
2015-07-28 00:00:00,69.019,102.172,69.019,69.019
2015-07-29 00:00:00,70.405,101.999,70.405,70.405
2015-07-30 00:00:00,71.422,102.358,71.422,71.422
2015-07-31 00:00:00,69.896,103.112,69.896,69.896
2015-08-03 00:00:00,67.319,103.584,67.319,67.319
2015-08-04 00:00:00,67.958,102.842,67.958,67.958
2015-08-05 00:00:00,66.851,102.174,66.851,66.851
2015-08-06 00:00:00,67.677,102.086,67.677,67.677
2015-08-07 00:00:00,67.197,103.275,67.197,67.197
2015-08-10 00:00:00,67.644,102.334,67.644,67.644
2015-08-11 00:00:00,66.674,102.733,66.674,66.674
2015-08-12 00:00:00,67.117,101.708,67.117,67.117
2015-08-13 00:00:00,66.748,101.982,66.748,66.748
2015-08-14 00:00:00,67.192,102.307,67.192,67.192
2015-08-17 00:00:00,66.764,103.482,66.764,66.764
2015-08-18 00:00:00,66.824,103.054,66.824,66.824
2015-08-19 00:00:00,65.528,102.912,65.528,65.528
2015-08-20 00:00:00,66.977,103.279,66.977,66.977
2015-08-21 00:00:00,65.934,103.291,65.934,65.934
2015-08-24 00:00:00,65.829,102.835,65.829,65.829
2015-08-25 00:00:00,66.112,101.956,66.112,66.112
2015-08-26 00:00:00,65.046,100.709,65.046,65.046
2015-08-27 00:00:00,67.07,101.688,67.07,67.07
2015-08-28 00:00:00,67.393,102.518,67.393,67.393
2015-08-31 00:00:00,67.292,102.064,67.292,67.292
2015-09-01 00:00:00,66.587,101.8,66.587,66.587
2015-09-02 00:00:00,66.65,101.36,66.65,66.65
2015-09-03 00:00:00,67.768,101.495,67.768,67.768
2015-09-04 00:00:00,66.906,102.235,66.906,66.906
2015-09-08 00:00:00,68.459,101.479,68.459,68.459
2015-09-09 00:00:00,69.683,102.221,69.683,69.683
2015-09-10 00:00:00,69.354,101.42,69.354,69.354
2015-09-11 00:00:00,68.558,101.266,68.558,68.558
2015-09-14 00:00:00,68.571,101.128,68.571,68.571
2015-09-15 00:00:00,68.614,100.575,68.614,68.614
2015-09-16 00:00:00,68.587,100.563,68.587,68.587
2015-09-17 00:00:00,67.776,101.608,67.776,67.776
2015-09-18 00:00:00,66.831,102.325,66.831,66.831
2015-09-21 00:00:00,65.693,101.178,65.693,65.693
2015-09-22 00:00:00,65.991,101.671,65.991,65.991
2015-09-23 00:00:00,64.214,101.247,64.214,64.214
2015-09-24 00:00:00,63.087,100.795,63.087,63.087
2015-09-25 00:00:00,61.656,100.26,61.656,61.656
2015-09-28 00:00:00,61.145,100.057,61.145,61.145
2015-09-29 00:00:00,61.221,98.99,61.221,61.221
2015-09-30 00:00:00,62.92,98.79,62.92,62.92
2015-10-01 00:00:00,62.404,98.639,62.404,62.404
2015-10-02 00:00:00,64.366,99.497,64.366,64.366
2015-10-05 00:00:00,65.57,98.975,65.57,65.57
2015-10-06 00:00:00,68.66,99.42,68.66,68.66
2015-10-07 00:00:00,66.514,100.306,66.514,66.514
2015-10-08 00:00:00,67.457,99.337,67.457,67.457
2015-10-09 00:00:00,66.495,99.714,66.495,66.495
2015-10-13 00:00:00,66.027,100.727,66.027,66.027
2015-10-14 00:00:00,64.652,100.659,64.652,64.652
2015-10-15 00:00:00,64.772,99.803,64.772,64.772
2015-10-16 00:00:00,65.223,99.914,65.223,65.223
2015-10-19 00:00:00,64.809,100.46,64.809,64.809
2015-10-20 00:00:00,64.304,100.193,64.304,64.304
2015-10-21 00:00:00,63.964,101.607,63.964,63.964
2015-10-22 00:00:00,65.6,101.764,65.6,65.6
2015-10-23 00:00:00,63.628,101.412,63.628,63.628
2015-10-26 00:00:00,62.759,102.057,62.759,62.759
2015-10-27 00:00:00,62.418,102.095,62.418,62.418
2015-10-28 00:00:00,62.809,101.231,62.809,62.809
2015-10-29 00:00:00,63.605,100.419,63.605,63.605
2015-10-30 00:00:00,64.119,101.253,64.119,64.119
2015-11-02 00:00:00,65.356,101.187,65.356,65.356
2015-11-03 00:00:00,66.786,101.309,66.786,66.786
2015-11-04 00:00:00,66.829,101.197,66.829,66.829
2015-11-05 00:00:00,64.846,101.16,64.846,64.846
2015-11-06 00:00:00,63.967,100.532,63.967,63.967
2015-11-09 00:00:00,62.482,100.721,62.482,62.482
2015-11-10 00:00:00,62.638,99.871,62.638,62.638
2015-11-12 00:00:00,61.606,100.208,61.606,61.606
2015-11-13 00:00:00,61.405,100.06,61.405,61.405
2015-11-16 00:00:00,61.525,99.997,61.525,61.525
2015-11-17 00:00:00,61.555,99.956,61.555,61.555
2015-11-18 00:00:00,62.273,100.255,62.273,62.273
2015-11-19 00:00:00,61.502,100.955,61.502,61.502
2015-11-20 00:00:00,60.188,101.162,60.188,60.188
2015-11-23 00:00:00,60.4,101.313,60.4,60.4
2015-11-24 00:00:00,61.457,100.883,61.457,61.457
2015-11-25 00:00:00,59.247,101.023,59.247,59.247
2015-11-27 00:00:00,59.438,101.218,59.438,59.438
2015-11-30 00:00:00,61.349,101.697,61.349,61.349
2015-12-01 00:00:00,62.257,102.487,62.257,62.257
2015-12-02 00:00:00,61.359,102.46,61.359,61.359
2015-12-03 00:00:00,61.401,101.016,61.401,61.401
2015-12-04 00:00:00,59.799,101.666,59.799,59.799
2015-12-07 00:00:00,57.775,101.951,57.775,57.775
2015-12-08 00:00:00,58.284,101.82,58.284,58.284
2015-12-09 00:00:00,57.728,101.7,57.728,57.728
2015-12-10 00:00:00,56.552,101.771,56.552,56.552
2015-12-11 00:00:00,53.661,102.516,53.661,53.661
2015-12-14 00:00:00,53.732,101.171,53.732,53.732
2015-12-15 00:00:00,54.676,101.07,54.676,54.676
2015-12-16 00:00:00,54.432,101.247,54.432,54.432
2015-12-17 00:00:00,52.826,101.927,52.826,52.826
2015-12-18 00:00:00,48.134,102.179,48.134,48.134
2015-12-21 00:00:00,49.592,102.192,49.592,49.592
2015-12-22 00:00:00,52.286,101.781,52.286,52.286
2015-12-23 00:00:00,58.571,101.702,58.571,58.571
2015-12-24 00:00:00,57.164,102.044,57.164,57.164
2015-12-28 00:00:00,52.524,102.214,52.524,52.524
2015-12-29 00:00:00,54.919,101.285,54.919,54.919
2015-12-30 00:00:00,53.354,101.244,53.354,53.354
2015-12-31 00:00:00,52.857,101.415,52.857,52.857
2016-01-04 00:00:00,53.427,101.258,53.427,53.427
2016-01-05 00:00:00,55.137,101.424,55.137,55.137
2016-01-06 00:00:00,53.756,101.713,53.756,53.756
2016-01-07 00:00:00,52.945,101.431,52.945,52.945
2016-01-08 00:00:00,52.928,101.831,52.928,52.928
2016-01-11 00:00:00,50.175,100.787,50.175,50.175
2016-01-12 00:00:00,49.398,101.899,49.398,49.398
2016-01-13 00:00:00,46.968,102.067,46.968,46.968
2016-01-14 00:00:00,49.014,100.835,49.014,49.014
2016-01-15 00:00:00,46.25,101.023,46.25,46.25
2016-01-19 00:00:00,43.691,99.779,43.691,43.691
2016-01-20 00:00:00,41.743,99.249,41.743,41.743
2016-01-21 00:00:00,43.392,99.191,43.392,43.392
2016-01-22 00:00:00,45.624,100.44,45.624,45.624
2016-01-25 00:00:00,45.94,100.034,45.94,45.94
2016-01-26 00:00:00,45.701,99.752,45.701,45.701
2016-01-27 00:00:00,45.86,99.631,45.86,45.86
2016-01-28 00:00:00,46.254,99.672,46.254,46.254
2016-01-29 00:00:00,47.504,100.05,47.504,47.504
2016-02-01 00:00:00,46.082,99.483,46.082,46.082
2016-02-02 00:00:00,45.382,100.4,45.382,45.382
2016-02-03 00:00:00,45.129,99.702,45.129,45.129
2016-02-04 00:00:00,46.567,99.921,46.567,46.567
2016-02-05 00:00:00,45.748,99.875,45.748,45.748
2016-02-08 00:00:00,44.832,98.954,44.832,44.832
2016-02-09 00:00:00,44.4,99.472,44.4,44.4
2016-02-10 00:00:00,43.093,100.516,43.093,43.093
2016-02-11 00:00:00,40.342,100.927,40.342,40.342
2016-02-12 00:00:00,42.289,99.21,42.289,42.289
2016-02-16 00:00:00,42.615,99.253,42.615,42.615
2016-02-17 00:00:00,43.461,98.648,43.461,43.461
2016-02-18 00:00:00,42.702,99.26,42.702,42.702
2016-02-19 00:00:00,42.839,99.211,42.839,42.839
2016-02-22 00:00:00,43.908,99.88,43.908,43.908
2016-02-23 00:00:00,42.588,100.807,42.588,42.588
2016-02-24 00:00:00,41.646,100.469,41.646,41.646
2016-02-25 00:00:00,42.873,100.574,42.873,42.873
2016-02-26 00:00:00,43.8,101.172,43.8,43.8
2016-02-29 00:00:00,46.045,101.624,46.045,46.045
2016-03-01 00:00:00,47.154,100.911,47.154,47.154
2016-03-02 00:00:00,49.486,100.984,49.486,49.486
2016-03-03 00:00:00,50.964,102.639,50.964,50.964
2016-03-04 00:00:00,54.215,102.315,54.215,54.215
2016-03-07 00:00:00,57.113,103.358,57.113,57.113
2016-03-08 00:00:00,55.593,104.236,55.593,55.593
2016-03-09 00:00:00,54.199,104.92,54.199,54.199
2016-03-10 00:00:00,55.646,105.428,55.646,55.646
2016-03-11 00:00:00,55.132,105.679,55.132,55.132
2016-03-14 00:00:00,55.028,107.121,55.028,55.028
2016-03-15 00:00:00,55.069,106.983,55.069,55.069
2016-03-16 00:00:00,54.786,107.398,54.786,54.786
2016-03-17 00:00:00,55.41,109.246,55.41,55.41
2016-03-18 00:00:00,56.314,109.514,56.314,56.314
2016-03-21 00:00:00,55.764,109.048,55.764,55.764
2016-03-22 00:00:00,54.159,109.171,54.159,54.159
2016-03-23 00:00:00,51.706,109.308,51.706,51.706
2016-03-24 00:00:00,51.766,108.943,51.766,51.766
2016-03-28 00:00:00,51.161,108.916,51.161,51.161
2016-03-29 00:00:00,50.863,110.115,50.863,50.863
2016-03-30 00:00:00,51.036,109.453,51.036,51.036
2016-03-31 00:00:00,50.092,109.761,50.092,50.092
2016-04-01 00:00:00,49.21,109.972,49.21,49.21
2016-04-04 00:00:00,48.962,110.558,48.962,48.962
2016-04-05 00:00:00,46.983,111.229,46.983,46.983
2016-04-06 00:00:00,48.209,111.438,48.209,48.209
2016-04-07 00:00:00,47.387,111.901,47.387,47.387
2016-04-08 00:00:00,48.696,111.519,48.696,48.696
2016-04-11 00:00:00,50.086,111.389,50.086,50.086
2016-04-12 00:00:00,53.173,111.051,53.173,53.173
2016-04-13 00:00:00,54.431,111.73,54.431,54.431
2016-04-14 00:00:00,55.213,111.737,55.213,55.213
2016-04-15 00:00:00,58.23,112.337,58.23,58.23
2016-04-18 00:00:00,57.626,112.092,57.626,57.626
2016-04-19 00:00:00,61.294,112.419,61.294,61.294
2016-04-20 00:00:00,63.238,112.597,63.238,63.238
2016-04-21 00:00:00,61.481,113.216,61.481,61.481
2016-04-22 00:00:00,61.285,112.907,61.285,61.285
2016-04-25 00:00:00,61.096,112.886,61.096,61.096
2016-04-26 00:00:00,60.609,113.745,60.609,60.609
2016-04-27 00:00:00,62.16,114.642,62.16,62.16
2016-04-28 00:00:00,61.64,114.889,61.64,61.64
2016-04-29 00:00:00,60.492,114.794,60.492,60.492
2016-05-02 00:00:00,61.017,114.595,61.017,61.017
2016-05-03 00:00:00,58.488,115.092,58.488,58.488
2016-05-04 00:00:00,57.555,115.523,57.555,57.555
2016-05-05 00:00:00,55.435,116.411,55.435,55.435
2016-05-06 00:00:00,57.107,115.589,57.107,57.107
2016-05-09 00:00:00,56.002,115.376,56.002,56.002
2016-05-10 00:00:00,57.392,115.243,57.392,57.392
2016-05-11 00:00:00,57.906,114.561,57.906,57.906
2016-05-12 00:00:00,59.159,113.524,59.159,59.159
2016-05-13 00:00:00,58.389,114.087,58.389,58.389
2016-05-16 00:00:00,59.836,113.473,59.836,59.836
2016-05-17 00:00:00,58.588,113.03,58.588,58.588
2016-05-18 00:00:00,57.215,111.179,57.215,57.215
2016-05-19 00:00:00,57.289,109.792,57.289,57.289
2016-05-20 00:00:00,58.21,110.006,58.21,58.21
2016-05-23 00:00:00,56.969,112.385,56.969,56.969
2016-05-24 00:00:00,57.557,110.821,57.557,57.557
2016-05-25 00:00:00,58.545,110.988,58.545,58.545
2016-05-26 00:00:00,58.166,112.818,58.166,58.166
2016-05-27 00:00:00,58.953,112.793,58.953,58.953
2016-05-31 00:00:00,58.198,112.798,58.198,58.198
2016-06-01 00:00:00,57.831,113.068,57.831,57.831
2016-06-02 00:00:00,58.273,114.014,58.273,58.273
2016-06-03 00:00:00,59.613,114.879,59.613,59.613
2016-06-06 00:00:00,61.214,114.026,61.214,61.214
2016-06-07 00:00:00,64.405,114.353,64.405,64.405
2016-06-08 00:00:00,63.273,115.105,63.273,63.273
2016-06-09 00:00:00,62.771,115.234,62.771,62.771
2016-06-10 00:00:00,62.743,114.877,62.743,62.743
2016-06-13 00:00:00,61.927,115.26,61.927,61.927
2016-06-14 00:00:00,60.82,114.96,60.82,60.82
