,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
Maturity Date,2037-08-01 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-11-30 00:00:00,2037-03-05 00:00:00
2015-09-01 00:00:00,141.866,66.587,66.587,66.587,66.587
2015-09-02 00:00:00,141.041,66.65,66.65,66.65,66.65
2015-09-03 00:00:00,141.199,67.768,67.768,67.768,67.768
2015-09-04 00:00:00,142.12,66.906,66.906,66.906,66.906
2015-09-08 00:00:00,141.304,68.459,68.459,68.459,68.459
2015-09-09 00:00:00,141.538,69.683,69.683,69.683,69.683
2015-09-10 00:00:00,140.927,69.354,69.354,69.354,69.354
2015-09-11 00:00:00,141.352,68.558,68.558,68.558,68.558
2015-09-14 00:00:00,141.097,68.571,68.571,68.571,68.571
2015-09-15 00:00:00,139.209,68.614,68.614,68.614,68.614
2015-09-16 00:00:00,139.139,68.587,68.587,68.587,68.587
2015-09-17 00:00:00,140.918,67.776,67.776,67.776,67.776
2015-09-18 00:00:00,141.832,66.831,66.831,66.831,66.831
2015-09-21 00:00:00,142.252,65.693,65.693,65.693,65.693
2015-09-22 00:00:00,143.608,65.991,65.991,65.991,65.991
2015-09-23 00:00:00,143.459,64.214,64.214,64.214,64.214
2015-09-24 00:00:00,143.928,63.087,63.087,63.087,63.087
2015-09-25 00:00:00,143.65,61.656,61.656,61.656,61.656
2015-09-28 00:00:00,145.395,61.145,61.145,61.145,61.145
2015-09-29 00:00:00,146.552,61.221,61.221,61.221,61.221
2015-09-30 00:00:00,146.418,62.92,62.92,62.92,62.92
2015-10-01 00:00:00,145.845,62.404,62.404,62.404,62.404
2015-10-02 00:00:00,146.679,64.366,64.366,64.366,64.366
2015-10-05 00:00:00,145.011,65.57,65.57,65.57,65.57
2015-10-06 00:00:00,145.491,68.66,68.66,68.66,68.66
2015-10-07 00:00:00,145.049,66.514,66.514,66.514,66.514
2015-10-08 00:00:00,144.329,67.457,67.457,67.457,67.457
2015-10-09 00:00:00,144.814,66.495,66.495,66.495,66.495
2015-10-13 00:00:00,145.748,66.027,66.027,66.027,66.027
2015-10-14 00:00:00,147.429,64.652,64.652,64.652,64.652
2015-10-15 00:00:00,146.562,64.772,64.772,64.772,64.772
2015-10-16 00:00:00,146.075,65.223,65.223,65.223,65.223
2015-10-19 00:00:00,145.989,64.809,64.809,64.809,64.809
2015-10-20 00:00:00,145.04,64.304,64.304,64.304,64.304
2015-10-21 00:00:00,146.068,63.964,63.964,63.964,63.964
2015-10-22 00:00:00,146.046,65.6,65.6,65.6,65.6
2015-10-23 00:00:00,145.4,63.628,63.628,63.628,63.628
2015-10-26 00:00:00,146.332,62.759,62.759,62.759,62.759
2015-10-27 00:00:00,146.561,62.418,62.418,62.418,62.418
2015-10-28 00:00:00,145.853,62.809,62.809,62.809,62.809
2015-10-29 00:00:00,144.624,63.605,63.605,63.605,63.605
2015-10-30 00:00:00,145.348,64.119,64.119,64.119,64.119
2015-11-02 00:00:00,144.764,65.356,65.356,65.356,65.356
2015-11-03 00:00:00,144.16,66.786,66.786,66.786,66.786
2015-11-04 00:00:00,144.624,66.829,66.829,66.829,66.829
2015-11-05 00:00:00,144.27,64.846,64.846,64.846,64.846
2015-11-06 00:00:00,142.32,63.967,63.967,63.967,63.967
2015-11-09 00:00:00,141.952,62.482,62.482,62.482,62.482
2015-11-10 00:00:00,141.909,62.638,62.638,62.638,62.638
2015-11-12 00:00:00,142.595,61.606,61.606,61.606,61.606
2015-11-13 00:00:00,143.519,61.405,61.405,61.405,61.405
2015-11-16 00:00:00,143.288,61.525,61.525,61.525,61.525
2015-11-17 00:00:00,143.779,61.555,61.555,61.555,61.555
2015-11-18 00:00:00,143.998,62.273,62.273,62.273,62.273
2015-11-19 00:00:00,145.013,61.502,61.502,61.502,61.502
2015-11-20 00:00:00,144.965,60.188,60.188,60.188,60.188
2015-11-23 00:00:00,144.798,60.4,60.4,60.4,60.4
2015-11-24 00:00:00,144.157,61.457,61.457,61.457,61.457
2015-11-25 00:00:00,144.372,59.247,59.247,59.247,59.247
2015-11-27 00:00:00,144.608,59.438,59.438,59.438,59.438
2015-11-30 00:00:00,144.847,61.349,61.349,61.349,61.349
2015-12-01 00:00:00,143.117,62.257,62.257,62.257,62.257
2015-12-02 00:00:00,142.419,61.359,61.359,61.359,61.359
2015-12-03 00:00:00,140.117,61.401,61.401,61.401,61.401
2015-12-04 00:00:00,140.648,59.799,59.799,59.799,59.799
2015-12-07 00:00:00,140.82,57.775,57.775,57.775,57.775
2015-12-08 00:00:00,140.863,58.284,58.284,58.284,58.284
2015-12-09 00:00:00,140.693,57.728,57.728,57.728,57.728
2015-12-10 00:00:00,139.973,56.552,56.552,56.552,56.552
2015-12-11 00:00:00,141.536,53.661,53.661,53.661,53.661
2015-12-14 00:00:00,140.772,53.732,53.732,53.732,53.732
2015-12-15 00:00:00,139.857,54.676,54.676,54.676,54.676
2015-12-16 00:00:00,139.46,54.432,54.432,54.432,54.432
2015-12-17 00:00:00,140.419,52.826,52.826,52.826,52.826
2015-12-18 00:00:00,140.537,48.134,48.134,48.134,48.134
2015-12-21 00:00:00,140.601,49.592,49.592,49.592,49.592
2015-12-22 00:00:00,139.894,52.286,52.286,52.286,52.286
2015-12-23 00:00:00,139.623,58.571,58.571,58.571,58.571
2015-12-24 00:00:00,140.131,57.164,57.164,57.164,57.164
2015-12-28 00:00:00,140.236,52.524,52.524,52.524,52.524
2015-12-29 00:00:00,138.861,54.919,54.919,54.919,54.919
2015-12-30 00:00:00,139.317,53.354,53.354,53.354,53.354
2015-12-31 00:00:00,139.784,52.857,52.857,52.857,52.857
2016-01-04 00:00:00,140.211,53.427,53.427,53.427,53.427
2016-01-05 00:00:00,140.497,55.137,55.137,55.137,55.137
2016-01-06 00:00:00,141.569,53.756,53.756,53.756,53.756
2016-01-07 00:00:00,142.075,52.945,52.945,52.945,52.945
2016-01-08 00:00:00,143.285,52.928,52.928,52.928,52.928
