,00817YAG3 Corp,62912XAC8 Corp,EH0970051 Corp,292505AG9 Corp,881575AC8 Corp,037411AR6 Corp,126650BJ8 Corp
Company,Aetna Inc,NGPL PipeCo LLC,Marks & Spencer PLC,Ovintiv Inc,Tesco PLC,Apache Corp,CVS Health Corp
Ticker,AET,NGPLCO,MARSPE,OVV,TSCOLN,APA,CVS
Rating,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
Issue Date,2007-12-04 00:00:00,2007-12-21 00:00:00,2007-12-06 00:00:00,2007-12-04 00:00:00,2007-11-05 00:00:00,2007-01-26 00:00:00,2007-05-25 00:00:00
Maturity Date,2037-12-15 00:00:00,2037-12-15 00:00:00,2037-12-01 00:00:00,2038-02-01 00:00:00,2037-11-15 00:00:00,2037-01-15 00:00:00,2027-06-01 00:00:00
Coupon ,6.75,7.768,7.125,6.5,6.15,6,6.25
Tenor (days),10969,10952,10953,11017,10968,10947,7312
2024-05-10 00:00:00,5.89,6.35,8.946,8.946,8.946,6.149,5.475
2024-05-13 00:00:00,5.884,6.339,8.905,8.905,8.905,6.191,5.37
2024-05-14 00:00:00,5.841,6.285,8.962,8.962,8.962,6.061,5.315
2024-05-15 00:00:00,5.755,6.198,8.941,8.941,8.941,5.901,5.184
2024-05-16 00:00:00,5.784,6.215,8.88,8.88,8.88,6.023,5.246
2024-05-17 00:00:00,5.823,6.248,8.841,8.841,8.841,6.143,5.293
2024-05-20 00:00:00,5.846,6.184,8.875,8.875,8.875,6.166,5.314
2024-05-21 00:00:00,5.792,6.193,8.9,8.9,8.9,6.122,5.281
2024-05-22 00:00:00,5.827,6.204,8.944,8.944,8.944,6.149,5.319
2024-05-23 00:00:00,5.871,6.27,8.947,8.947,8.947,6.195,5.391
2024-05-24 00:00:00,5.855,6.255,9.027,9.027,9.027,5.905,5.393
2024-05-28 00:00:00,5.959,6.338,8.966,8.966,8.966,6.433,5.407
2024-05-29 00:00:00,6.025,6.377,9.067,9.067,9.067,6.258,5.454
2024-05-30 00:00:00,5.955,6.312,8.993,8.993,8.993,6.103,5.401
2024-05-31 00:00:00,5.906,6.205,8.969,8.969,8.969,6.146,5.336
2024-06-03 00:00:00,5.799,6.094,8.961,8.961,8.961,6.059,5.259
2024-06-04 00:00:00,5.736,6.039,9.124,9.124,9.124,6.035,5.201
2024-06-05 00:00:00,5.679,5.983,9.067,9.067,9.067,6.024,5.178
2024-06-06 00:00:00,5.689,5.985,9.101,9.101,9.101,5.948,5.168
2024-06-07 00:00:00,5.824,6.103,9.173,9.173,9.173,6.02,5.318
2024-06-10 00:00:00,5.861,6.156,9.171,9.171,9.171,6.046,5.315
2024-06-11 00:00:00,5.813,6.103,9.067,9.067,9.067,6.049,5.267
2024-06-12 00:00:00,5.737,6.016,8.966,8.966,8.966,5.86,5.173
2024-06-13 00:00:00,5.684,5.933,9.062,9.062,9.062,5.946,5.125
2024-06-14 00:00:00,5.659,5.902,9.138,9.138,9.138,6.004,5.134
2024-06-17 00:00:00,5.721,5.966,9.185,9.185,9.185,6.098,5.203
2024-06-18 00:00:00,5.676,5.911,9.103,9.103,9.103,6.032,5.143
2024-06-20 00:00:00,5.727,5.952,9.058,9.058,9.058,5.994,5.162
2024-06-21 00:00:00,5.762,5.992,9.084,9.084,9.084,5.999,5.166
2024-06-24 00:00:00,5.768,5.97,9.051,9.051,9.051,5.936,5.153
2024-06-25 00:00:00,5.787,5.993,9.108,9.108,9.108,5.863,5.172
2024-06-26 00:00:00,5.885,6.107,9.15,9.15,9.15,6.093,5.254
2024-06-27 00:00:00,5.873,6.059,9.165,9.165,9.165,6.025,5.223
2024-06-28 00:00:00,6.003,6.169,8.985,8.985,8.985,6.212,5.263
2024-07-01 00:00:00,6.067,6.23,9.023,9.023,9.023,6.144,5.281
2024-07-02 00:00:00,6.035,6.181,9.018,9.018,9.018,6.169,5.235
2024-07-03 00:00:00,5.96,6.108,9.028,9.028,9.028,6.059,5.154
2024-07-05 00:00:00,5.873,6.025,8.927,8.927,8.927,5.983,5.048
2024-07-08 00:00:00,5.868,6.036,8.968,8.968,8.968,6.026,5.067
2024-07-09 00:00:00,5.889,6.061,8.958,8.958,8.958,5.946,5.063
2024-07-10 00:00:00,5.874,6.047,8.912,8.912,8.912,6.024,5.053
2024-07-11 00:00:00,5.784,5.966,8.799,8.799,8.799,5.967,4.946
2024-07-12 00:00:00,5.728,5.928,8.814,8.814,8.814,5.933,4.897
2024-07-15 00:00:00,5.772,5.974,8.748,8.748,8.748,5.796,4.898
2024-07-16 00:00:00,5.684,5.927,8.685,8.685,8.685,5.856,4.86
2024-07-17 00:00:00,5.697,5.937,8.673,8.673,8.673,5.935,4.878
2024-07-18 00:00:00,5.731,5.953,8.705,8.705,8.705,5.972,4.904
2024-07-19 00:00:00,5.763,5.988,8.839,8.839,8.839,5.935,4.949
2024-07-22 00:00:00,5.777,6.013,8.721,8.721,8.721,5.836,4.952
2024-07-23 00:00:00,5.781,6.008,8.788,8.788,8.788,5.777,4.934
2024-07-24 00:00:00,5.855,6.038,8.908,8.908,8.908,5.911,4.929
2024-07-25 00:00:00,5.805,6.009,8.905,8.905,8.905,5.843,4.915
2024-07-26 00:00:00,5.759,5.974,8.687,8.687,8.687,5.872,4.89
2024-07-29 00:00:00,5.741,5.958,8.706,8.706,8.706,5.815,4.882
2024-07-30 00:00:00,5.707,5.925,8.838,8.838,8.838,5.764,4.876
2024-07-31 00:00:00,5.603,5.861,8.617,8.617,8.617,5.665,4.792
2024-08-01 00:00:00,5.568,5.859,8.677,8.677,8.677,5.662,4.685
2024-08-02 00:00:00,5.48,5.739,8.813,8.813,8.813,5.638,4.473
2024-08-05 00:00:00,5.555,5.742,8.838,8.838,8.838,5.636,4.571
2024-08-06 00:00:00,5.567,5.768,8.695,8.695,8.695,5.638,4.664
2024-08-07 00:00:00,5.631,5.838,8.627,8.627,8.627,5.684,4.662
2024-08-08 00:00:00,5.634,5.851,8.752,8.752,8.752,5.702,4.715
2024-08-09 00:00:00,5.571,5.799,8.837,8.837,8.837,5.542,4.729
2024-08-12 00:00:00,5.583,5.779,8.71,8.71,8.71,5.735,4.657
2024-08-13 00:00:00,5.527,5.726,8.707,8.707,8.707,5.593,4.681
2024-08-14 00:00:00,5.481,5.715,8.692,8.692,8.692,5.553,4.632
2024-08-15 00:00:00,5.505,5.764,8.69,8.69,8.69,5.533,4.762
2024-08-16 00:00:00,5.479,5.724,8.667,8.667,8.667,5.666,4.779
2024-08-19 00:00:00,5.461,5.707,8.609,8.609,8.609,5.615,4.64
2024-08-20 00:00:00,5.414,5.645,8.649,8.649,8.649,5.632,4.531
2024-08-21 00:00:00,5.419,5.641,8.643,8.643,8.643,5.529,4.485
2024-08-22 00:00:00,5.464,5.699,8.64,8.64,8.64,5.64,4.594
2024-08-23 00:00:00,5.382,5.665,8.611,8.611,8.611,5.523,4.499
2024-08-26 00:00:00,5.406,5.672,8.564,8.564,8.564,5.54,4.532
2024-08-27 00:00:00,5.415,5.686,8.631,8.631,8.631,5.386,4.501
2024-08-28 00:00:00,5.426,5.691,8.725,8.725,8.725,5.602,4.518
2024-08-29 00:00:00,5.475,5.709,8.753,8.753,8.753,5.588,4.553
2024-08-30 00:00:00,5.5,5.743,8.723,8.723,8.723,5.571,4.569
2024-09-03 00:00:00,5.46,5.685,8.907,8.907,8.907,5.61,4.522
2024-09-04 00:00:00,5.422,5.675,8.926,8.926,8.926,5.609,4.423
2024-09-05 00:00:00,5.369,5.651,8.922,8.922,8.922,5.485,4.404
2024-09-06 00:00:00,5.328,5.644,8.982,8.982,8.982,5.469,4.335
2024-09-09 00:00:00,5.296,5.63,9.145,9.145,9.145,5.527,4.348
2024-09-10 00:00:00,5.245,5.592,9.38,9.38,9.38,5.522,4.299
2024-09-11 00:00:00,5.249,5.607,9.238,9.238,9.238,5.567,4.33
2024-09-12 00:00:00,5.262,5.619,9.018,9.018,9.018,5.506,4.326
2024-09-13 00:00:00,5.225,5.607,8.936,8.936,8.936,5.458,4.273
2024-09-16 00:00:00,5.189,5.572,8.995,8.995,8.995,5.446,4.234
2024-09-17 00:00:00,5.22,5.605,8.922,8.922,8.922,5.485,4.286
2024-09-18 00:00:00,5.241,5.654,8.929,8.929,8.929,5.498,4.291
2024-09-19 00:00:00,5.249,5.653,8.847,8.847,8.847,5.42,4.272
2024-09-20 00:00:00,5.279,5.686,8.844,8.844,8.844,5.474,4.287
2024-09-23 00:00:00,5.271,5.694,8.91,8.91,8.91,5.517,4.273
2024-09-24 00:00:00,5.254,5.641,8.779,8.779,8.779,5.459,4.228
2024-09-25 00:00:00,5.329,5.702,8.863,8.863,8.863,5.525,4.284
2024-09-26 00:00:00,5.354,5.733,9.079,9.079,9.079,5.618,4.358
2024-09-27 00:00:00,5.319,5.703,9.056,9.056,9.056,5.548,4.289
2024-09-30 00:00:00,5.33,5.737,9.126,9.126,9.126,5.558,4.344
2024-10-01 00:00:00,5.281,5.75,9.164,9.164,9.164,5.536,4.354
2024-10-02 00:00:00,5.346,5.795,9.176,9.176,9.176,5.492,4.397
2024-10-03 00:00:00,5.4,5.872,9.09,9.09,9.09,5.628,4.432
2024-10-04 00:00:00,5.482,5.981,9.137,9.137,9.137,5.65,4.644
2024-10-07 00:00:00,5.546,6.046,9.167,9.167,9.167,5.623,4.7
2024-10-08 00:00:00,5.51,6.034,9.305,9.305,9.305,5.743,4.681
2024-10-09 00:00:00,5.557,6.084,9.424,9.424,9.424,5.725,4.718
2024-10-10 00:00:00,5.519,6.092,9.459,9.459,9.459,5.759,4.641
2024-10-11 00:00:00,5.548,6.126,9.414,9.414,9.414,5.789,4.64
2024-10-15 00:00:00,5.479,6.052,9.595,9.595,9.595,5.75,4.625
2024-10-16 00:00:00,5.454,6.045,9.467,9.467,9.467,5.614,4.543
2024-10-17 00:00:00,5.532,6.094,9.397,9.397,9.397,5.772,4.605
2024-10-18 00:00:00,5.564,6.102,9.399,9.399,9.399,5.77,4.642
2024-10-21 00:00:00,5.702,6.224,9.442,9.442,9.442,5.886,4.76
2024-10-22 00:00:00,5.711,6.185,9.418,9.418,9.418,5.86,4.773
2024-10-23 00:00:00,5.745,6.212,9.582,9.582,9.582,5.918,4.864
2024-10-24 00:00:00,5.709,6.156,9.202,9.202,9.202,5.859,4.828
2024-10-25 00:00:00,5.724,6.185,9.088,9.088,9.088,5.888,4.852
2024-10-28 00:00:00,5.734,6.216,9.244,9.244,9.244,5.93,4.877
2024-10-29 00:00:00,5.712,6.192,9.284,9.284,9.284,5.922,4.795
2024-10-30 00:00:00,5.746,6.225,9.152,9.152,9.152,5.937,4.901
2024-10-31 00:00:00,5.775,6.228,9.032,9.032,9.032,5.919,4.985
2024-11-01 00:00:00,5.865,6.313,9.077,9.077,9.077,6.006,5.002
2024-11-04 00:00:00,5.781,6.219,8.912,8.912,8.912,5.908,4.957
2024-11-05 00:00:00,5.75,6.188,8.876,8.876,8.876,5.878,4.927
2024-11-06 00:00:00,5.841,6.361,8.841,8.841,8.841,5.954,4.988
2024-11-07 00:00:00,5.756,6.229,8.913,8.913,8.913,5.813,4.868
2024-11-08 00:00:00,5.747,6.158,8.725,8.725,8.725,5.903,4.9
2024-11-12 00:00:00,5.87,6.257,8.941,8.941,8.941,5.957,5.049
2024-11-13 00:00:00,5.925,6.28,8.854,8.854,8.854,6.037,5.038
2024-11-14 00:00:00,5.957,6.312,8.911,8.911,8.911,6.025,5.149
2024-11-15 00:00:00,5.927,6.27,8.948,8.948,8.948,5.991,4.978
2024-11-18 00:00:00,5.905,6.222,9.027,9.027,9.027,5.956,4.964
2024-11-19 00:00:00,5.908,6.221,8.955,8.955,8.955,5.992,4.984
2024-11-20 00:00:00,5.926,6.248,8.985,8.985,8.985,5.953,5.004
2024-11-21 00:00:00,5.932,6.267,8.895,8.895,8.895,5.99,5.037
2024-11-22 00:00:00,5.925,6.272,8.909,8.909,8.909,6.022,5.039
2024-11-25 00:00:00,5.801,6.157,8.882,8.882,8.882,5.833,4.918
2024-11-26 00:00:00,5.844,6.194,8.927,8.927,8.927,5.895,4.954
2024-11-27 00:00:00,5.802,6.147,8.926,8.926,8.926,5.939,4.926
2024-11-29 00:00:00,5.693,6.064,8.907,8.907,8.907,5.842,4.849
2024-12-02 00:00:00,5.673,6.082,8.894,8.894,8.894,5.889,4.808
2024-12-03 00:00:00,5.693,6.112,8.937,8.937,8.937,5.809,4.865
2024-12-04 00:00:00,5.638,6.069,9.002,9.002,9.002,5.64,4.84
2024-12-05 00:00:00,5.639,6.058,8.981,8.981,8.981,5.726,4.865
2024-12-06 00:00:00,5.613,6.033,9.062,9.062,9.062,5.708,4.899
2024-12-09 00:00:00,5.645,6.07,9.081,9.081,9.081,5.721,4.9
2024-12-10 00:00:00,5.669,6.094,9.107,9.107,9.107,5.784,4.932
2024-12-11 00:00:00,5.707,6.114,9.062,9.062,9.062,5.795,4.954
2024-12-12 00:00:00,5.75,6.172,9.023,9.023,9.023,5.872,4.995
2024-12-13 00:00:00,5.81,6.229,9.178,9.178,9.178,5.912,5.089
2024-12-16 00:00:00,5.847,6.221,9.242,9.242,9.242,5.912,5.099
2024-12-17 00:00:00,5.913,6.217,9.358,9.358,9.358,5.895,5.08
2024-12-18 00:00:00,6.051,6.335,9.314,9.314,9.314,5.985,5.24
2024-12-19 00:00:00,6.136,6.376,9.382,9.382,9.382,6.041,5.273
2024-12-20 00:00:00,6.06,6.341,9.404,9.404,9.404,5.96,5.161
2024-12-23 00:00:00,6.121,6.406,9.412,9.412,9.412,6.048,5.179
2024-12-24 00:00:00,6.116,6.401,9.411,9.411,9.411,6.007,5.144
2024-12-26 00:00:00,6.103,6.369,9.341,9.341,9.341,6.013,5.132
2024-12-27 00:00:00,6.152,6.412,9.415,9.415,9.415,6.083,5.166
2024-12-30 00:00:00,6.082,6.329,9.349,9.349,9.349,6.094,5.103
2024-12-31 00:00:00,6.144,6.375,9.211,9.211,9.211,6.117,5.111
2025-01-02 00:00:00,6.151,6.355,9.145,9.145,9.145,6.17,5.098
2025-01-03 00:00:00,6.179,6.395,9.154,9.154,9.154,6.153,5.118
2025-01-06 00:00:00,6.211,6.444,9.076,9.076,9.076,6.106,5.14
2025-01-07 00:00:00,6.271,6.508,9.169,9.169,9.169,6.231,5.158
2025-01-08 00:00:00,6.269,6.485,9.201,9.201,9.201,6.251,5.141
2025-01-09 00:00:00,6.265,6.48,9.211,9.211,9.211,6.289,5.125
2025-01-10 00:00:00,6.33,6.556,9.19,9.19,9.19,6.27,5.233
2025-01-13 00:00:00,6.32,6.568,9.23,9.23,9.23,6.388,5.219
2025-01-14 00:00:00,6.354,6.595,9.197,9.197,9.197,6.166,5.205
2025-01-15 00:00:00,6.202,6.446,9.006,9.006,9.006,6.094,5.059
2025-01-16 00:00:00,6.166,6.417,9.006,9.006,9.006,6.126,5.043
2025-01-17 00:00:00,6.177,6.431,9.02,9.02,9.02,6.099,5.056
2025-01-21 00:00:00,6.125,6.388,9.093,9.093,9.093,6.007,5.03
2025-01-22 00:00:00,6.167,6.403,9.105,9.105,9.105,5.954,5.055
2025-01-23 00:00:00,6.179,6.442,9.102,9.102,9.102,5.927,5.045
2025-01-24 00:00:00,6.169,6.436,9.089,9.089,9.089,6.007,5.007
2025-01-27 00:00:00,6.09,6.364,9.123,9.123,9.123,6.05,4.941
2025-01-28 00:00:00,6.081,6.355,9.099,9.099,9.099,5.912,4.922
2025-01-29 00:00:00,6.08,6.347,9.14,9.14,9.14,5.981,4.935
2025-01-30 00:00:00,6.073,6.339,9.135,9.135,9.135,5.976,4.966
2025-01-31 00:00:00,6.098,6.354,9.152,9.152,9.152,6.297,4.981
2025-02-03 00:00:00,6.12,6.411,9.29,9.29,9.29,6.335,5.011
2025-02-04 00:00:00,6.08,6.36,9.217,9.217,9.217,6.317,4.954
2025-02-05 00:00:00,5.982,6.277,9.12,9.12,9.12,6.265,4.888
2025-02-06 00:00:00,6.006,6.297,9.108,9.108,9.108,6.065,4.924
2025-02-07 00:00:00,6.056,6.375,9.121,9.121,9.121,6.104,5.003
2025-02-10 00:00:00,6.059,6.403,9.165,9.165,9.165,6.056,4.986
2025-02-11 00:00:00,6.094,6.445,9.236,9.236,9.236,6.146,5.007
2025-02-12 00:00:00,6.153,6.538,9.274,9.274,9.274,6.148,5.058
2025-02-13 00:00:00,6.067,6.437,9.251,9.251,9.251,6.1,4.974
2025-02-14 00:00:00,5.997,6.36,9.335,9.335,9.335,6.036,4.943
2025-02-18 00:00:00,6.049,6.432,9.282,9.282,9.282,6.031,4.951
2025-02-19 00:00:00,6.033,6.424,9.283,9.283,9.283,6.043,4.912
2025-02-20 00:00:00,6.012,6.391,9.25,9.25,9.25,6.085,4.896
2025-02-21 00:00:00,5.966,6.355,9.295,9.295,9.295,6.023,4.871
2025-02-24 00:00:00,5.898,6.31,9.418,9.418,9.418,6.014,4.826
2025-02-25 00:00:00,5.794,6.196,9.437,9.437,9.437,6.022,4.779
2025-02-26 00:00:00,5.773,6.159,9.502,9.502,9.502,6.129,4.756
2025-02-27 00:00:00,5.799,6.148,9.62,9.62,9.62,6.018,4.77
2025-02-28 00:00:00,5.761,6.148,9.741,9.741,9.741,6.049,4.719
2025-03-03 00:00:00,5.773,6.159,9.91,9.91,9.91,5.912,4.669
2025-03-04 00:00:00,5.811,6.185,10.149,10.149,10.149,6.093,4.683
2025-03-05 00:00:00,5.826,6.186,10.213,10.213,10.213,6.17,4.692
2025-03-06 00:00:00,5.871,6.216,10.321,10.321,10.321,6.042,4.704
2025-03-07 00:00:00,5.883,6.204,10.186,10.186,10.186,6.113,4.731
2025-03-10 00:00:00,5.816,6.184,10.251,10.251,10.251,6.069,4.644
2025-03-11 00:00:00,5.922,6.301,10.258,10.258,10.258,6.178,4.723
2025-03-12 00:00:00,5.95,6.327,10.189,10.189,10.189,6.266,4.784
2025-03-13 00:00:00,5.922,6.315,10.453,10.453,10.453,6.265,4.769
2025-03-14 00:00:00,5.909,6.329,10.266,10.266,10.266,6.302,4.811
2025-03-17 00:00:00,5.925,6.321,10.171,10.171,10.171,6.321,4.821
2025-03-18 00:00:00,5.897,6.314,10.091,10.091,10.091,6.153,4.808
2025-03-19 00:00:00,5.834,6.318,9.962,9.962,9.962,6.254,4.722
2025-03-20 00:00:00,5.827,6.303,9.915,9.915,9.915,6.223,4.733
2025-03-21 00:00:00,5.854,6.307,9.904,9.904,9.904,6.224,4.724
2025-03-24 00:00:00,5.933,6.387,9.83,9.83,9.83,6.356,4.789
2025-03-25 00:00:00,5.912,6.364,9.888,9.888,9.888,6.227,4.77
2025-03-26 00:00:00,5.965,6.384,9.962,9.962,9.962,6.31,4.828
2025-03-27 00:00:00,6.007,6.4,9.947,9.947,9.947,6.334,4.832
2025-03-28 00:00:00,5.915,6.276,9.996,9.996,9.996,6.234,4.643
2025-03-31 00:00:00,5.912,6.251,10.089,10.089,10.089,6.261,4.616
2025-04-01 00:00:00,5.863,6.213,10.047,10.047,10.047,6.273,4.625
2025-04-02 00:00:00,5.785,6.148,10.1,10.1,10.1,6.246,4.598
2025-04-03 00:00:00,5.781,6.098,11.233,11.233,11.233,6.082,4.465
2025-04-04 00:00:00,5.925,6.068,12.589,12.589,12.589,6.147,4.509
2025-04-07 00:00:00,6.029,6.298,13.252,13.252,13.252,6.479,4.743
2025-04-08 00:00:00,6.174,6.518,13.121,13.121,13.121,6.574,4.766
2025-04-09 00:00:00,6.269,6.466,12.742,12.742,12.742,6.574,4.905
2025-04-10 00:00:00,6.227,6.622,12.634,12.634,12.634,6.786,4.849
2025-04-11 00:00:00,6.21,6.694,12.99,12.99,12.99,6.724,4.956
2025-04-14 00:00:00,6.093,6.587,12.753,12.753,12.753,6.609,4.798
2025-04-15 00:00:00,6.047,6.542,12.746,12.746,12.746,6.666,4.773
2025-04-16 00:00:00,6.028,6.542,12.686,12.686,12.686,6.369,4.708
2025-04-17 00:00:00,6.077,6.588,12.61,12.61,12.61,6.507,4.714
2025-04-21 00:00:00,6.222,6.633,12.87,12.87,12.87,6.602,4.689
2025-04-22 00:00:00,6.177,6.674,12.87,12.87,12.87,6.581,4.716
2025-04-23 00:00:00,6.099,6.813,12.562,12.562,12.562,6.707,4.789
2025-04-24 00:00:00,6.08,6.797,12.627,12.627,12.627,6.661,4.686
2025-04-25 00:00:00,5.955,6.572,12.481,12.481,12.481,6.758,4.596
2025-04-28 00:00:00,5.967,6.542,12.414,12.414,12.414,6.729,4.554
2025-04-29 00:00:00,5.956,6.496,12.542,12.542,12.542,6.637,4.519
