,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
2015-09-01 00:00:00,3.892,10.772,10.772,10.772,10.772
2015-09-02 00:00:00,3.936,10.763,10.763,10.763,10.763
2015-09-03 00:00:00,3.927,10.581,10.581,10.581,10.581
2015-09-04 00:00:00,3.877,10.721,10.721,10.721,10.721
2015-09-08 00:00:00,3.921,10.472,10.472,10.472,10.472
2015-09-09 00:00:00,3.908,10.282,10.282,10.282,10.282
2015-09-10 00:00:00,3.941,10.333,10.333,10.333,10.333
2015-09-11 00:00:00,3.918,10.457,10.457,10.457,10.457
2015-09-14 00:00:00,3.931,10.455,10.455,10.455,10.455
2015-09-15 00:00:00,4.034,10.448,10.448,10.448,10.448
2015-09-16 00:00:00,4.037,10.453,10.453,10.453,10.453
2015-09-17 00:00:00,3.94,10.582,10.582,10.582,10.582
2015-09-18 00:00:00,3.89,10.736,10.736,10.736,10.736
2015-09-21 00:00:00,3.868,10.925,10.925,10.925,10.925
2015-09-22 00:00:00,3.795,10.875,10.875,10.875,10.875
2015-09-23 00:00:00,3.803,11.181,11.181,11.181,11.181
2015-09-24 00:00:00,3.778,11.382,11.382,11.382,11.382
2015-09-25 00:00:00,3.792,11.646,11.646,11.646,11.646
2015-09-28 00:00:00,3.7,11.743,11.743,11.743,11.743
2015-09-29 00:00:00,3.64,11.729,11.729,11.729,11.729
2015-09-30 00:00:00,3.647,11.413,11.413,11.413,11.413
2015-10-01 00:00:00,3.676,11.507,11.507,11.507,11.507
2015-10-02 00:00:00,3.633,11.155,11.155,11.155,11.155
2015-10-05 00:00:00,3.719,10.948,10.948,10.948,10.948
2015-10-06 00:00:00,3.694,10.443,10.443,10.443,10.443
2015-10-07 00:00:00,3.716,10.79,10.79,10.79,10.79
2015-10-08 00:00:00,3.754,10.636,10.636,10.636,10.636
2015-10-09 00:00:00,3.728,10.793,10.793,10.793,10.793
2015-10-13 00:00:00,3.679,10.872,10.872,10.872,10.872
2015-10-14 00:00:00,3.592,11.107,11.107,11.107,11.107
2015-10-15 00:00:00,3.636,11.086,11.086,11.086,11.086
2015-10-16 00:00:00,3.661,11.008,11.008,11.008,11.008
2015-10-19 00:00:00,3.665,11.08,11.08,11.08,11.08
2015-10-20 00:00:00,3.715,11.168,11.168,11.168,11.168
2015-10-21 00:00:00,3.66,11.228,11.228,11.228,11.228
2015-10-22 00:00:00,3.661,10.945,10.945,10.945,10.945
2015-10-23 00:00:00,3.695,11.288,11.288,11.288,11.288
2015-10-26 00:00:00,3.646,11.445,11.445,11.445,11.445
2015-10-27 00:00:00,3.634,11.508,11.508,11.508,11.508
2015-10-28 00:00:00,3.67,11.437,11.437,11.437,11.437
2015-10-29 00:00:00,3.734,11.293,11.293,11.293,11.293
2015-10-30 00:00:00,3.696,11.202,11.202,11.202,11.202
2015-11-02 00:00:00,3.727,10.988,10.988,10.988,10.988
2015-11-03 00:00:00,3.758,10.748,10.748,10.748,10.748
2015-11-04 00:00:00,3.733,10.741,10.741,10.741,10.741
2015-11-05 00:00:00,3.752,11.076,11.076,11.076,11.076
2015-11-06 00:00:00,3.855,11.23,11.23,11.23,11.23
2015-11-09 00:00:00,3.875,11.498,11.498,11.498,11.498
2015-11-10 00:00:00,3.876,11.47,11.47,11.47,11.47
2015-11-12 00:00:00,3.839,11.662,11.662,11.662,11.662
2015-11-13 00:00:00,3.79,11.7,11.7,11.7,11.7
2015-11-16 00:00:00,3.802,11.678,11.678,11.678,11.678
2015-11-17 00:00:00,3.776,11.672,11.672,11.672,11.672
2015-11-18 00:00:00,3.764,11.538,11.538,11.538,11.538
2015-11-19 00:00:00,3.71,11.683,11.683,11.683,11.683
2015-11-20 00:00:00,3.712,11.936,11.936,11.936,11.936
2015-11-23 00:00:00,3.721,11.895,11.895,11.895,11.895
2015-11-24 00:00:00,3.754,11.692,11.692,11.692,11.692
2015-11-25 00:00:00,3.742,12.124,12.124,12.124,12.124
2015-11-27 00:00:00,3.73,12.086,12.086,12.086,12.086
2015-11-30 00:00:00,3.717,11.713,11.713,11.713,11.713
2015-12-01 00:00:00,3.808,11.543,11.543,11.543,11.543
2015-12-02 00:00:00,3.845,11.712,11.712,11.712,11.712
2015-12-03 00:00:00,3.97,11.704,11.704,11.704,11.704
2015-12-04 00:00:00,3.941,12.015,12.015,12.015,12.015
2015-12-07 00:00:00,3.931,12.429,12.429,12.429,12.429
2015-12-08 00:00:00,3.929,12.323,12.323,12.323,12.323
2015-12-09 00:00:00,3.937,12.44,12.44,12.44,12.44
2015-12-10 00:00:00,3.977,12.693,12.693,12.693,12.693
2015-12-11 00:00:00,3.891,13.354,13.354,13.354,13.354
2015-12-14 00:00:00,3.933,13.337,13.337,13.337,13.337
2015-12-15 00:00:00,3.983,13.115,13.115,13.115,13.115
2015-12-16 00:00:00,4.004,13.173,13.173,13.173,13.173
2015-12-17 00:00:00,3.951,13.558,13.558,13.558,13.558
2015-12-18 00:00:00,3.944,14.813,14.813,14.813,14.813
2015-12-21 00:00:00,3.941,14.4,14.4,14.4,14.4
2015-12-22 00:00:00,3.979,13.693,13.693,13.693,13.693
2015-12-23 00:00:00,3.994,12.268,12.268,12.268,12.268
2015-12-24 00:00:00,3.965,12.564,12.564,12.564,12.564
2015-12-28 00:00:00,3.96,13.635,13.635,13.635,13.635
2015-12-29 00:00:00,4.035,13.063,13.063,13.063,13.063
2015-12-30 00:00:00,4.01,13.432,13.432,13.432,13.432
2015-12-31 00:00:00,3.984,13.554,13.554,13.554,13.554
2016-01-04 00:00:00,3.96,13.415,13.415,13.415,13.415
2016-01-05 00:00:00,3.944,13.014,13.014,13.014,13.014
2016-01-06 00:00:00,3.885,13.338,13.338,13.338,13.338
2016-01-07 00:00:00,3.857,13.534,13.534,13.534,13.534
2016-01-08 00:00:00,3.792,13.538,13.538,13.538,13.538
2016-01-11 00:00:00,3.83,14.247,14.247,14.247,14.247
2016-01-12 00:00:00,3.759,14.46,14.46,14.46,14.46
2016-01-13 00:00:00,3.746,15.168,15.168,15.168,15.168
2016-01-14 00:00:00,3.748,14.569,14.569,14.569,14.569
2016-01-15 00:00:00,3.695,15.39,15.39,15.39,15.39
2016-01-19 00:00:00,3.71,16.234,16.234,16.234,16.234
2016-01-20 00:00:00,3.648,16.942,16.942,16.942,16.942
2016-01-21 00:00:00,3.702,16.341,16.341,16.341,16.341
2016-01-22 00:00:00,3.721,15.591,15.591,15.591,15.591
2016-01-25 00:00:00,3.678,15.49,15.49,15.49,15.49
2016-01-26 00:00:00,3.679,15.567,15.567,15.567,15.567
2016-01-27 00:00:00,3.699,15.517,15.517,15.517,15.517
2016-01-28 00:00:00,3.683,15.393,15.393,15.393,15.393
2016-01-29 00:00:00,3.622,15.011,15.011,15.011,15.011
2016-02-01 00:00:00,3.649,15.447,15.447,15.447,15.447
2016-02-02 00:00:00,3.541,15.672,15.672,15.672,15.672
2016-02-03 00:00:00,3.572,15.755,15.755,15.755,15.755
2016-02-04 00:00:00,3.579,15.298,15.298,15.298,15.298
2016-02-05 00:00:00,3.588,15.556,15.556,15.556,15.556
2016-02-08 00:00:00,3.498,15.855,15.855,15.855,15.855
2016-02-09 00:00:00,3.461,16,16,16,16
2016-02-10 00:00:00,3.37,16.455,16.455,16.455,16.455
2016-02-11 00:00:00,3.317,17.501,17.501,17.501,17.501
2016-02-12 00:00:00,3.434,16.748,16.748,16.748,16.748
2016-02-16 00:00:00,3.457,16.629,16.629,16.629,16.629
2016-02-17 00:00:00,3.508,16.328,16.328,16.328,16.328
2016-02-18 00:00:00,3.445,16.599,16.599,16.599,16.599
2016-02-19 00:00:00,3.452,16.55,16.55,16.55,16.55
